,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
176,Tennessee,TN,5575.0,35.680940580000474,-85.77449091399967,29.2
177,Tennessee,TN,6613.0,35.680940580000474,-85.77449091399967,31.1
178,Tennessee,TN,5452.0,35.680940580000474,-85.77449091399967,33.7
179,Tennessee,TN,4793.0,35.680940580000474,-85.77449091399967,31.2
180,Texas,TX,14024.0,31.827240407000488,-99.42677020599967,30.4
181,Texas,TX,8530.0,31.827240407000488,-99.42677020599967,29.2
182,Texas,TX,10085.0,31.827240407000488,-99.42677020599967,30.9
183,Texas,TX,14058.0,31.827240407000488,-99.42677020599967,31.9
184,Utah,UT,11918.0,39.360700171000474,-111.58713063499971,24.4
185,Utah,UT,11683.0,39.360700171000474,-111.58713063499971,24.3
186,Utah,UT,12027.0,39.360700171000474,-111.58713063499971,24.1
187,Utah,UT,13965.0,39.360700171000474,-111.58713063499971,25.7
188,Vermont,VT,6771.0,43.62538123900049,-72.51764079099962,25.4
189,Vermont,VT,5791.0,43.62538123900049,-72.51764079099962,23.7
190,Vermont,VT,6106.0,43.62538123900049,-72.51764079099962,24.7
191,Vermont,VT,6068.0,43.62538123900049,-72.51764079099962,24.8
192,Virginia,VA,6151.0,37.54268067400045,-78.45789046299967,29.2
193,Virginia,VA,6948.0,37.54268067400045,-78.45789046299967,27.4
194,Virginia,VA,7941.0,37.54268067400045,-78.45789046299967,27.2
195,Virginia,VA,8879.0,37.54268067400045,-78.45789046299967,28.5
196,Washington,WA,13896.0,47.522278629000475,-120.47001078999972,26.5
197,Washington,WA,14540.0,47.522278629000475,-120.47001078999972,26.8
198,Washington,WA,10554.0,47.522278629000475,-120.47001078999972,27.2
199,Washington,WA,9444.0,47.522278629000475,-120.47001078999972,27.3
200,West Virginia,WV,4958.0,38.66551020200046,-80.71264013499967,32.4
201,West Virginia,WV,5125.0,38.66551020200046,-80.71264013499967,33.8
202,West Virginia,WV,5636.0,38.66551020200046,-80.71264013499967,35.1
203,West Virginia,WV,5846.0,38.66551020200046,-80.71264013499967,35.7
204,Wisconsin,WI,4941.0,44.39319117400049,-89.81637074199966,27.7
205,Wisconsin,WI,4966.0,44.39319117400049,-89.81637074199966,29.7
206,Wisconsin,WI,6188.0,44.39319117400049,-89.81637074199966,29.8
207,Wisconsin,WI,6655.0,44.39319117400049,-89.81637074199966,31.2
208,Wyoming,WY,6565.0,43.23554134300048,-108.1098303529997,25.0
209,Wyoming,WY,5976.0,43.23554134300048,-108.1098303529997,24.6
210,Wyoming,WY,6147.0,43.23554134300048,-108.1098303529997,27.8
211,Wyoming,WY,5973.0,43.23554134300048,-108.1098303529997,29.5
212,Alabama,AL,7383.0,32.84057112200048,-86.63186076199969,35.6
213,Alaska,AK,3434.0,64.84507995700051,-147.7220590359997,29.8
214,Arizona,AZ,7152.0,34.86597028000045,-111.76381127699972,28.4
215,Arkansas,AR,4813.0,34.74865012400045,-92.27449074299965,34.5
216,California,CA,11459.0,37.63864012300047,-120.99999953799973,24.2
217,Colorado,CO,12183.0,38.84384075700047,-106.13361092099969,20.2
218,Connecticut,CT,10901.0,41.56266102000046,-72.64984095199965,25.3
219,Delaware,DE,3688.0,39.008830667000495,-75.57774116799966,29.7
220,District of Columbia,DC,3654.0,38.89037138500049,-77.03196112699966,22.1
221,Florida,FL,8985.0,28.93204037700048,-81.92896053899965,26.8
222,Georgia,GA,4269.0,32.83968109300048,-83.62758034599966,30.7
223,Hawaii,HI,6822.0,21.30485043500045,-157.85774940299973,22.7
224,Idaho,ID,5358.0,43.682630005000476,-114.3637300419997,28.6
225,Illinois,IL,5081.0,40.48501028300046,-88.99771017799969,30.8
226,Indiana,IN,5647.0,39.76691045200045,-86.14996019399969,31.3
227,Iowa,IA,5614.0,42.46940091300047,-93.81649055599968,32.1
228,Kansas,KS,20930.0,38.34774030000045,-98.20078122699965,34.2
229,Kentucky,KY,8130.0,37.64597027100047,-84.77497104799966,34.6
230,Louisiana,LA,4324.0,31.31266064400046,-92.44568007099969,36.2
231,Maine,ME,8579.0,45.254228894000505,-68.98503133599961,30.0
232,Maryland,MD,11357.0,39.29058096400047,-76.60926011099963,28.9
233,Massachusetts,MA,8206.0,42.27687047000046,-72.08269067499964,24.3
234,Michigan,MI,8329.0,44.661319543000495,-84.71439026999968,31.2
235,Minnesota,MN,15340.0,46.35564873600049,-94.79420050299969,26.1
236,Mississippi,MS,5664.0,32.74551009900045,-89.5380308249997,35.6
237,Missouri,MO,6764.0,38.635790776000476,-92.5663000529997,32.4
238,Montana,MT,5563.0,47.06652897200046,-109.42442064499971,23.6
239,Nebraska,NE,16265.0,41.6410409880005,-99.36572062299969,31.4
240,Nevada,NV,2701.0,39.493240390000494,-117.07184056399969,26.7
241,New Hampshire,NH,6366.0,43.65595011300047,-71.50036091999965,26.3
242,New Jersey,NJ,10184.0,40.13057004800049,-74.27369128799967,25.6
243,New Mexico,NM,6206.0,34.52088095200048,-106.2405809849997,28.8
244,New York,NY,11281.0,42.82700103200045,-75.54397042699965,25.0
245,North Carolina,NC,6019.0,35.466220975000454,-79.15925046299964,30.1
246,North Dakota,ND,4612.0,47.47531977900047,-100.11842104899965,31.0
247,Ohio,OH,10924.0,40.060210141000475,-82.40426005599966,29.8
248,Oklahoma,OK,6521.0,35.472031356000464,-97.52107021399969,33.9
249,Oregon,OR,4905.0,44.56744942400047,-120.15503132599967,30.1
250,Pennsylvania,PA,5335.0,40.79373015200048,-77.86070029399963,30.0
251,Rhode Island,RI,5668.0,41.70828019300046,-71.52247031399962,26.0
252,South Carolina,SC,10865.0,33.99882130300045,-81.04537120699969,31.7
253,South Dakota,SD,6707.0,44.35313005300048,-100.3735306369997,30.4
254,Tennessee,TN,5475.0,35.680940580000474,-85.77449091399967,33.8
255,Texas,TX,13230.0,31.827240407000488,-99.42677020599967,32.4
256,Utah,UT,10455.0,39.360700171000474,-111.58713063499971,24.5
257,Vermont,VT,6008.0,43.62538123900049,-72.51764079099962,25.1
258,Virginia,VA,8030.0,37.54268067400045,-78.45789046299967,29.2
259,Washington,WA,14694.0,47.522278629000475,-120.47001078999972,26.4
260,West Virginia,WV,5471.0,38.66551020200046,-80.71264013499967,35.6
261,Wisconsin,WI,5755.0,44.39319117400049,-89.81637074199966,30.7
262,Wyoming,WY,5010.0,43.23554134300048,-108.1098303529997,29.0
263,Guam,GU,1588.0,13.444304,144.793731,31.6
264,Puerto Rico,PR,5154.0,18.220833,-66.590149,29.5
