,state,county,poverty_percent_16,median_household_income_16
2,Postal Code,Name,"Poverty Percent, All Ages",Median Household Income
3,US,United States,14.0,"57,617"
4,AL,Alabama,17.2,"46,309"
5,AL,Autauga County,13.5,"54,487"
6,AL,Baldwin County,11.7,"56,460"
7,AL,Barbour County,29.9,"32,884"
8,AL,Bibb County,20.1,"43,079"
9,AL,Blount County,14.1,"47,213"
10,AL,Bullock County,32.6,"34,278"
11,AL,Butler County,24.8,"35,409"
12,AL,Calhoun County,17.1,"41,778"
13,AL,Chambers County,19.9,"39,530"
14,AL,Cherokee County,16.8,"41,456"
15,AL,Chilton County,18.3,"44,188"
16,AL,Choctaw County,22.7,"32,691"
17,AL,Clarke County,29.0,"34,061"
18,AL,Clay County,18.9,"38,512"
19,AL,Cleburne County,17.2,"43,483"
20,AL,Coffee County,14.4,"48,632"
21,AL,Colbert County,16.7,"46,572"
22,AL,Conecuh County,28.1,"29,758"
23,AL,Coosa County,17.5,"36,441"
24,AL,Covington County,19.6,"35,010"
25,AL,Crenshaw County,20.5,"37,374"
26,AL,Cullman County,14.9,"41,543"
27,AL,Dale County,20.6,"40,523"
28,AL,Dallas County,35.4,"30,488"
29,AL,DeKalb County,20.5,"37,128"
30,AL,Elmore County,13.5,"54,553"
31,AL,Escambia County,23.3,"35,096"
32,AL,Etowah County,17.5,"40,972"
33,AL,Fayette County,20.3,"38,403"
34,AL,Franklin County,20.1,"37,049"
35,AL,Geneva County,20.9,"36,976"
36,AL,Greene County,34.0,"26,559"
37,AL,Hale County,23.7,"35,381"
38,AL,Henry County,18.7,"41,426"
39,AL,Houston County,19.4,"42,910"
40,AL,Jackson County,17.5,"41,407"
41,AL,Jefferson County,15.3,"50,109"
42,AL,Lamar County,18.6,"38,358"
43,AL,Lauderdale County,15.2,"44,124"
44,AL,Lawrence County,16.8,"43,107"
45,AL,Lee County,18.3,"47,749"
46,AL,Limestone County,12.8,"52,181"
47,AL,Lowndes County,31.7,"32,011"
48,AL,Macon County,30.0,"30,681"
49,AL,Madison County,13.5,"61,193"
50,AL,Marengo County,25.8,"34,794"
51,AL,Marion County,18.5,"36,386"
52,AL,Marshall County,21.0,"42,117"
53,AL,Mobile County,19.5,"45,233"
54,AL,Monroe County,25.7,"36,639"
55,AL,Montgomery County,18.8,"45,111"
56,AL,Morgan County,15.8,"46,843"
57,AL,Perry County,35.0,"25,221"
58,AL,Pickens County,25.8,"35,968"
59,AL,Pike County,25.1,"35,172"
60,AL,Randolph County,21.8,"40,283"
61,AL,Russell County,19.3,"38,617"
62,AL,St. Clair County,12.0,"57,856"
63,AL,Shelby County,7.9,"74,212"
64,AL,Sumter County,32.4,"26,814"
65,AL,Talladega County,18.0,"40,555"
66,AL,Tallapoosa County,20.2,"40,169"
67,AL,Tuscaloosa County,17.6,"47,483"
68,AL,Walker County,20.5,"39,511"
69,AL,Washington County,18.2,"37,575"
70,AL,Wilcox County,31.9,"24,216"
71,AL,Winston County,17.3,"38,644"
72,AK,Alaska,9.9,"76,144"
73,AK,Aleutians East Borough,14.8,"63,991"
74,AK,Aleutians West Census Area,8.0,"78,151"
75,AK,Anchorage Borough,7.2,"83,959"
76,AK,Bethel Census Area,25.5,"46,634"
77,AK,Bristol Bay Borough,11.4,"68,026"
78,AK,Denali Borough,6.3,"72,378"
79,AK,Dillingham Census Area,19.6,"52,250"
80,AK,Fairbanks North Star Borough,8.5,"73,427"
81,AK,Haines Borough,10.3,"53,471"
82,AK,Hoonah-Angoon Census Area,19.1,"53,884"
83,AK,Juneau Borough,7.4,"82,011"
84,AK,Kenai Peninsula Borough,12.0,"68,501"
85,AK,Ketchikan Gateway Borough,9.2,"67,125"
86,AK,Kodiak Island Borough,7.3,"74,683"
87,AK,Kusilvak Census Area,37.8,"34,341"
88,AK,Lake and Peninsula Borough,20.9,"44,310"
89,AK,Matanuska-Susitna Borough,9.5,"71,793"
90,AK,Nome Census Area,24.0,"55,974"
91,AK,North Slope Borough,11.9,"74,998"
92,AK,Northwest Arctic Borough,27.8,"53,692"
93,AK,Petersburg Borough,8.4,"60,540"
94,AK,Prince of Wales-Hyder Census Area,17.5,"48,888"
95,AK,Sitka Borough,7.9,"72,795"
96,AK,Skagway Municipality,4.4,"65,112"
97,AK,Southeast Fairbanks Census Area,11.8,"59,412"
98,AK,Valdez-Cordova Census Area,9.2,"69,755"
99,AK,Wrangell City and Borough,11.5,"56,747"
100,AK,Yakutat Borough,16.8,"57,687"
101,AK,Yukon-Koyukuk Census Area,23.0,"37,906"
102,AZ,Arizona,16.4,"53,481"
103,AZ,Apache County,33.2,"34,040"
104,AZ,Cochise County,21.1,"45,151"
105,AZ,Coconino County,17.8,"53,643"
106,AZ,Gila County,20.3,"40,747"
107,AZ,Graham County,22.9,"46,714"
108,AZ,Greenlee County,12.0,"61,110"
109,AZ,La Paz County,24.8,"34,285"
110,AZ,Maricopa County,15.0,"58,742"
111,AZ,Mohave County,18.3,"42,003"
112,AZ,Navajo County,28.2,"37,440"
113,AZ,Pima County,18.2,"47,644"
114,AZ,Pinal County,15.4,"52,642"
115,AZ,Santa Cruz County,20.9,"39,090"
116,AZ,Yavapai County,13.3,"49,824"
117,AZ,Yuma County,19.3,"42,998"
118,AR,Arkansas,17.2,"44,406"
119,AR,Arkansas County,18.1,"39,726"
120,AR,Ashley County,17.9,"41,277"
121,AR,Baxter County,12.7,"40,147"
122,AR,Benton County,9.1,"64,072"
123,AR,Boone County,15.4,"39,881"
124,AR,Bradley County,23.5,"34,114"
125,AR,Calhoun County,17.1,"33,507"
126,AR,Carroll County,17.2,"37,145"
127,AR,Chicot County,30.1,"29,527"
128,AR,Clark County,22.3,"37,247"
129,AR,Clay County,19.1,"36,037"
130,AR,Cleburne County,16.3,"42,397"
131,AR,Cleveland County,15.8,"45,256"
132,AR,Columbia County,24.2,"35,322"
133,AR,Conway County,18.9,"41,892"
134,AR,Craighead County,16.2,"44,091"
135,AR,Crawford County,16.8,"42,941"
136,AR,Crittenden County,25.5,"37,627"
137,AR,Cross County,19.4,"40,970"
138,AR,Dallas County,20.8,"33,679"
139,AR,Desha County,26.5,"32,392"
140,AR,Drew County,19.2,"40,441"
141,AR,Faulkner County,16.0,"50,909"
142,AR,Franklin County,17.9,"40,091"
143,AR,Fulton County,23.2,"33,451"
144,AR,Garland County,17.8,"42,087"
145,AR,Grant County,11.5,"54,411"
