,state,county,poverty_percent_16,median_household_income_16
146,AR,Greene County,15.3,"45,208"
147,AR,Hempstead County,20.7,"38,769"
148,AR,Hot Spring County,14.7,"46,313"
149,AR,Howard County,18.7,"36,166"
150,AR,Independence County,15.9,"42,520"
151,AR,Izard County,20.1,"36,987"
152,AR,Jackson County,24.1,"35,098"
153,AR,Jefferson County,23.3,"38,485"
154,AR,Johnson County,18.4,"37,205"
155,AR,Lafayette County,27.4,"32,288"
156,AR,Lawrence County,20.0,"39,015"
157,AR,Lee County,35.9,"26,912"
158,AR,Lincoln County,27.6,"35,419"
159,AR,Little River County,17.5,"43,567"
160,AR,Logan County,18.2,"39,361"
161,AR,Lonoke County,12.4,"56,247"
162,AR,Madison County,18.3,"39,059"
163,AR,Marion County,20.7,"33,950"
164,AR,Miller County,22.4,"38,412"
165,AR,Mississippi County,24.6,"35,846"
166,AR,Monroe County,27.0,"32,906"
167,AR,Montgomery County,22.4,"36,435"
168,AR,Nevada County,20.4,"37,612"
169,AR,Newton County,19.9,"33,107"
170,AR,Ouachita County,24.7,"36,016"
171,AR,Perry County,16.9,"43,819"
172,AR,Phillips County,32.3,"29,073"
173,AR,Pike County,18.2,"34,821"
174,AR,Poinsett County,22.7,"36,125"
175,AR,Polk County,23.4,"32,941"
176,AR,Pope County,17.5,"42,916"
177,AR,Prairie County,17.8,"40,340"
178,AR,Pulaski County,17.2,"47,966"
179,AR,Randolph County,18.9,"38,647"
180,AR,St. Francis County,31.6,"39,675"
181,AR,Saline County,8.7,"63,618"
182,AR,Scott County,19.7,"34,245"
183,AR,Searcy County,23.1,"29,747"
184,AR,Sebastian County,16.9,"42,559"
185,AR,Sevier County,20.8,"38,697"
186,AR,Sharp County,21.3,"32,379"
187,AR,Stone County,21.8,"31,955"
188,AR,Union County,19.3,"41,546"
189,AR,Van Buren County,16.7,"38,166"
190,AR,Washington County,15.8,"46,367"
191,AR,White County,15.7,"44,329"
192,AR,Woodruff County,26.3,"30,400"
193,AR,Yell County,18.0,"38,658"
194,CA,California,14.4,"67,715"
195,CA,Alameda County,10.7,"89,472"
196,CA,Alpine County,18.6,"57,481"
197,CA,Amador County,11.3,"59,789"
198,CA,Butte County,19.5,"45,097"
199,CA,Calaveras County,13.1,"57,990"
200,CA,Colusa County,11.1,"54,861"
201,CA,Contra Costa County,8.7,"90,920"
202,CA,Del Norte County,23.7,"39,458"
203,CA,El Dorado County,8.7,"75,100"
204,CA,Fresno County,25.5,"48,323"
205,CA,Glenn County,16.7,"46,141"
206,CA,Humboldt County,20.0,"43,164"
207,CA,Imperial County,23.6,"43,327"
208,CA,Inyo County,12.3,"53,350"
209,CA,Kern County,22.4,"49,812"
210,CA,Kings County,17.4,"51,320"
211,CA,Lake County,20.7,"40,818"
212,CA,Lassen County,17.6,"49,793"
213,CA,Los Angeles County,16.3,"61,308"
214,CA,Madera County,20.4,"49,467"
215,CA,Marin County,7.8,"103,488"
216,CA,Mariposa County,17.9,"51,233"
217,CA,Mendocino County,19.0,"45,247"
218,CA,Merced County,20.3,"47,442"
219,CA,Modoc County,18.4,"42,890"
220,CA,Mono County,11.5,"56,574"
221,CA,Monterey County,12.9,"62,999"
222,CA,Napa County,7.9,"73,112"
223,CA,Nevada County,10.9,"60,501"
224,CA,Orange County,11.1,"81,642"
225,CA,Placer County,7.2,"85,326"
226,CA,Plumas County,12.6,"53,646"
227,CA,Riverside County,15.3,"59,951"
228,CA,Sacramento County,16.3,"59,728"
229,CA,San Benito County,10.5,"73,298"
230,CA,San Bernardino County,17.6,"56,194"
231,CA,San Diego County,12.4,"70,693"
232,CA,San Francisco County,10.2,"101,873"
233,CA,San Joaquin County,14.6,"59,038"
234,CA,San Luis Obispo County,11.0,"69,517"
235,CA,San Mateo County,6.6,"107,075"
236,CA,Santa Barbara County,13.9,"66,360"
237,CA,Santa Clara County,9.3,"110,843"
238,CA,Santa Cruz County,13.4,"75,929"
239,CA,Shasta County,17.2,"46,663"
240,CA,Sierra County,14.4,"48,099"
241,CA,Siskiyou County,18.8,"40,875"
242,CA,Solano County,11.4,"73,200"
243,CA,Sonoma County,9.4,"73,496"
244,CA,Stanislaus County,14.5,"54,060"
245,CA,Sutter County,17.1,"51,283"
246,CA,Tehama County,20.9,"40,585"
247,CA,Trinity County,21.3,"38,727"
248,CA,Tulare County,24.7,"45,768"
249,CA,Tuolumne County,15.4,"50,431"
250,CA,Ventura County,9.8,"79,470"
251,CA,Yolo County,19.0,"63,645"
252,CA,Yuba County,16.6,"46,054"
253,CO,Colorado,11.0,"65,718"
254,CO,Adams County,11.7,"65,442"
255,CO,Alamosa County,24.8,"37,057"
256,CO,Arapahoe County,9.0,"70,866"
257,CO,Archuleta County,12.0,"51,998"
258,CO,Baca County,20.2,"34,070"
259,CO,Bent County,34.1,"33,951"
260,CO,Boulder County,10.8,"74,772"
261,CO,Broomfield County,5.3,"86,870"
262,CO,Chaffee County,11.4,"49,877"
263,CO,Cheyenne County,14.0,"50,558"
264,CO,Clear Creek County,8.1,"68,699"
265,CO,Conejos County,22.7,"34,390"
266,CO,Costilla County,30.4,"27,211"
267,CO,Crowley County,48.0,"35,873"
268,CO,Custer County,13.6,"52,021"
269,CO,Delta County,17.8,"41,798"
270,CO,Denver County,14.0,"61,038"
271,CO,Dolores County,13.2,"46,791"
272,CO,Douglas County,3.4,"112,399"
273,CO,Eagle County,7.9,"79,556"
274,CO,Elbert County,6.0,"86,693"
275,CO,El Paso County,11.5,"63,610"
276,CO,Fremont County,17.5,"46,372"
277,CO,Garfield County,9.1,"69,161"
278,CO,Gilpin County,7.5,"65,472"
279,CO,Grand County,8.2,"63,875"
280,CO,Gunnison County,13.8,"53,753"
281,CO,Hinsdale County,10.0,"51,717"
282,CO,Huerfano County,21.9,"34,626"
283,CO,Jackson County,14.1,"46,671"
284,CO,Jefferson County,7.0,"74,342"
285,CO,Kiowa County,13.9,"43,951"
286,CO,Kit Carson County,14.3,"48,272"
287,CO,Lake County,14.6,"49,064"
288,CO,La Plata County,10.9,"58,499"
289,CO,Larimer County,11.2,"66,561"
290,CO,Las Animas County,21.6,"38,224"
291,CO,Lincoln County,18.1,"42,969"
292,CO,Logan County,16.4,"49,407"
293,CO,Mesa County,15.0,"49,825"
294,CO,Mineral County,9.3,"52,641"
295,CO,Moffat County,12.9,"54,151"
296,CO,Montezuma County,15.1,"40,679"
297,CO,Montrose County,16.4,"43,285"
298,CO,Morgan County,11.7,"49,129"
299,CO,Otero County,23.6,"36,773"
300,CO,Ouray County,8.8,"66,813"
301,CO,Park County,9.2,"68,535"
302,CO,Phillips County,11.5,"49,046"
303,CO,Pitkin County,6.9,"74,576"
304,CO,Prowers County,20.9,"40,164"
305,CO,Pueblo County,19.9,"44,644"
306,CO,Rio Blanco County,9.5,"58,980"
307,CO,Rio Grande County,17.5,"41,128"
308,CO,Routt County,7.2,"71,322"
309,CO,Saguache County,27.6,"33,973"
310,CO,San Juan County,15.5,"44,652"
311,CO,San Miguel County,10.1,"67,251"
312,CO,Sedgwick County,14.8,"42,518"
313,CO,Summit County,7.9,"70,265"
314,CO,Teller County,9.5,"63,966"
315,CO,Washington County,14.3,"46,304"
316,CO,Weld County,11.5,"63,609"
317,CO,Yuma County,12.3,"48,963"
318,CT,Connecticut,9.9,"73,380"
319,CT,Fairfield County,8.6,"89,954"
320,CT,Hartford County,10.9,"69,341"
321,CT,Litchfield County,7.2,"76,323"
322,CT,Middlesex County,7.9,"80,190"
323,CT,New Haven County,11.4,"66,012"
324,CT,New London County,9.3,"70,258"
325,CT,Tolland County,7.2,"81,369"
326,CT,Windham County,11.9,"60,869"
327,DE,Delaware,11.8,"62,112"
328,DE,Kent County,13.6,"53,994"
329,DE,New Castle County,11.3,"67,246"
330,DE,Sussex County,11.6,"56,618"
331,DC,District of Columbia,18.5,"74,093"
332,DC,District of Columbia,18.5,"74,093"
333,FL,Florida,14.8,"50,857"
334,FL,Alachua County,22.3,"45,294"
335,FL,Baker County,17.2,"51,904"
336,FL,Bay County,14.9,"48,843"
337,FL,Bradford County,18.6,"43,058"
338,FL,Brevard County,14.7,"51,214"
339,FL,Broward County,13.5,"54,055"
340,FL,Calhoun County,21.9,"36,708"
341,FL,Charlotte County,12.6,"44,935"
342,FL,Citrus County,16.6,"40,009"
343,FL,Clay County,9.6,"57,476"
344,FL,Collier County,11.4,"62,397"
345,FL,Columbia County,17.8,"41,667"
346,FL,DeSoto County,28.6,"34,146"
347,FL,Dixie County,25.4,"34,146"
348,FL,Duval County,14.5,"51,948"
349,FL,Escambia County,15.2,"45,004"
350,FL,Flagler County,11.2,"50,863"
351,FL,Franklin County,23.1,"37,479"
352,FL,Gadsden County,20.6,"40,865"
353,FL,Gilchrist County,17.3,"41,721"
354,FL,Glades County,21.5,"39,607"
355,FL,Gulf County,23.5,"38,381"
356,FL,Hamilton County,28.9,"34,517"
357,FL,Hardee County,23.8,"37,612"
358,FL,Hendry County,25.1,"39,911"
359,FL,Hernando County,15.4,"46,225"
360,FL,Highlands County,19.1,"36,864"
361,FL,Hillsborough County,15.0,"54,509"
362,FL,Holmes County,24.2,"41,110"
363,FL,Indian River County,12.3,"49,813"
364,FL,Jackson County,22.6,"37,358"
365,FL,Jefferson County,18.9,"43,453"
366,FL,Lafayette County,23.3,"40,653"
367,FL,Lake County,11.8,"50,125"
368,FL,Lee County,12.8,"52,989"
369,FL,Leon County,19.0,"51,041"
370,FL,Levy County,21.4,"33,092"
371,FL,Liberty County,23.6,"38,900"
372,FL,Madison County,31.9,"33,721"
373,FL,Manatee County,12.7,"51,770"
374,FL,Marion County,17.4,"39,629"
375,FL,Martin County,11.3,"55,917"
376,FL,Miami-Dade County,18.2,"45,886"
377,FL,Monroe County,11.5,"63,892"
378,FL,Nassau County,10.3,"67,967"
379,FL,Okaloosa County,10.7,"58,009"
380,FL,Okeechobee County,20.2,"37,689"
381,FL,Orange County,16.3,"51,312"
382,FL,Osceola County,14.8,"50,716"
383,FL,Palm Beach County,12.6,"57,607"
384,FL,Pasco County,13.3,"46,326"
385,FL,Pinellas County,13.3,"49,974"
386,FL,Polk County,16.4,"46,289"
387,FL,Putnam County,21.5,"37,526"
388,FL,St. Johns County,7.7,"78,544"
389,FL,St. Lucie County,17.0,"45,509"
390,FL,Santa Rosa County,10.6,"62,668"
391,FL,Sarasota County,10.8,"55,088"
392,FL,Seminole County,11.4,"61,253"
393,FL,Sumter County,10.5,"56,568"
394,FL,Suwannee County,20.4,"40,572"
395,FL,Taylor County,22.5,"40,180"
396,FL,Union County,24.7,"43,795"
397,FL,Volusia County,14.2,"45,356"
398,FL,Wakulla County,13.1,"56,158"
399,FL,Walton County,13.1,"54,686"
400,FL,Washington County,22.8,"34,787"
401,GA,Georgia,16.1,"53,468"
402,GA,Appling County,19.7,"37,954"
403,GA,Atkinson County,26.4,"33,318"
404,GA,Bacon County,22.9,"36,873"
405,GA,Baker County,27.8,"35,452"
406,GA,Baldwin County,26.0,"40,683"
407,GA,Banks County,15.5,"43,370"
408,GA,Barrow County,12.9,"54,893"
409,GA,Bartow County,15.1,"52,497"
410,GA,Ben Hill County,26.4,"32,644"
411,GA,Berrien County,22.3,"39,174"
412,GA,Bibb County,26.3,"38,115"
413,GA,Bleckley County,21.7,"41,447"
414,GA,Brantley County,20.8,"37,675"
415,GA,Brooks County,24.9,"33,676"
416,GA,Bryan County,9.6,"77,244"
417,GA,Bulloch County,24.0,"42,083"
418,GA,Burke County,26.7,"37,410"
419,GA,Butts County,17.0,"46,141"
420,GA,Calhoun County,33.0,"33,478"
421,GA,Camden County,15.0,"53,130"
422,GA,Candler County,25.0,"32,970"
423,GA,Carroll County,14.9,"50,598"
424,GA,Catoosa County,12.9,"53,740"
425,GA,Charlton County,27.2,"38,948"
426,GA,Chatham County,16.6,"52,746"
427,GA,Chattahoochee County,21.5,"44,097"
428,GA,Chattooga County,20.1,"37,345"
429,GA,Cherokee County,7.5,"78,668"
430,GA,Clarke County,27.9,"36,692"
431,GA,Clay County,35.2,"27,648"
432,GA,Clayton County,20.8,"44,598"
433,GA,Clinch County,26.0,"34,777"
434,GA,Cobb County,10.0,"70,950"
435,GA,Coffee County,23.0,"38,704"
436,GA,Colquitt County,25.0,"34,931"
437,GA,Columbia County,7.2,"74,908"
438,GA,Cook County,25.1,"35,518"
439,GA,Coweta County,9.9,"71,114"
440,GA,Crawford County,19.3,"44,014"
441,GA,Crisp County,30.3,"34,211"
442,GA,Dade County,15.6,"36,213"
443,GA,Dawson County,10.2,"61,229"
444,GA,Decatur County,29.9,"36,136"
445,GA,DeKalb County,17.5,"56,053"
446,GA,Dodge County,25.2,"35,779"
447,GA,Dooly County,28.5,"40,591"
448,GA,Dougherty County,30.5,"35,750"
449,GA,Douglas County,12.9,"59,665"
450,GA,Early County,31.4,"26,934"
451,GA,Echols County,23.2,"35,892"
452,GA,Effingham County,10.3,"63,776"
453,GA,Elbert County,22.3,"37,131"
454,GA,Emanuel County,27.4,"32,495"
455,GA,Evans County,24.4,"34,689"
456,GA,Fannin County,14.1,"41,487"
457,GA,Fayette County,6.0,"83,145"
458,GA,Floyd County,15.8,"46,634"
459,GA,Forsyth County,5.7,"101,804"
460,GA,Franklin County,21.4,"41,543"
461,GA,Fulton County,16.0,"62,824"
462,GA,Gilmer County,15.2,"46,332"
463,GA,Glascock County,18.5,"41,412"
464,GA,Glynn County,19.1,"48,691"
465,GA,Gordon County,16.1,"45,705"
466,GA,Grady County,21.0,"40,234"
467,GA,Greene County,18.2,"47,194"
468,GA,Gwinnett County,11.3,"67,197"
469,GA,Habersham County,15.6,"46,828"
470,GA,Hall County,13.7,"55,308"
471,GA,Hancock County,33.5,"30,616"
472,GA,Haralson County,18.5,"43,196"
473,GA,Harris County,8.7,"70,724"
474,GA,Hart County,17.3,"41,247"
475,GA,Heard County,19.7,"41,994"
476,GA,Henry County,9.6,"67,150"
477,GA,Houston County,14.9,"61,795"
478,GA,Irwin County,23.6,"35,866"
479,GA,Jackson County,12.7,"55,426"
480,GA,Jasper County,16.9,"48,473"
481,GA,Jeff Davis County,23.9,"35,538"
482,GA,Jefferson County,25.2,"33,680"
483,GA,Jenkins County,34.2,"30,611"
484,GA,Johnson County,29.4,"32,201"
485,GA,Jones County,12.3,"54,155"
486,GA,Lamar County,18.2,"44,575"
487,GA,Lanier County,22.8,"35,690"
488,GA,Laurens County,25.6,"39,037"
489,GA,Lee County,11.2,"62,972"
490,GA,Liberty County,15.3,"44,154"
491,GA,Lincoln County,19.1,"41,494"
492,GA,Long County,18.6,"44,542"
493,GA,Lowndes County,22.1,"41,331"
494,GA,Lumpkin County,16.2,"47,287"
495,GA,McDuffie County,22.8,"39,642"
496,GA,McIntosh County,20.6,"40,788"
497,GA,Macon County,32.1,"31,358"
498,GA,Madison County,14.9,"47,151"
499,GA,Marion County,23.4,"38,734"
500,GA,Meriwether County,21.2,"34,508"
501,GA,Miller County,23.1,"42,771"
502,GA,Mitchell County,29.9,"33,490"
503,GA,Monroe County,12.2,"55,626"
504,GA,Montgomery County,22.7,"39,074"
505,GA,Morgan County,13.1,"55,347"
506,GA,Murray County,18.1,"43,203"
507,GA,Muscogee County,21.5,"40,895"
508,GA,Newton County,17.5,"51,167"
509,GA,Oconee County,6.8,"88,570"
510,GA,Oglethorpe County,15.4,"45,319"
511,GA,Paulding County,8.6,"65,480"
512,GA,Peach County,21.4,"44,330"
513,GA,Pickens County,11.3,"57,637"
514,GA,Pierce County,17.3,"42,908"
515,GA,Pike County,11.7,"56,901"
516,GA,Polk County,18.6,"42,470"
517,GA,Pulaski County,25.0,"36,611"
518,GA,Putnam County,18.4,"44,785"
519,GA,Quitman County,27.1,"30,483"
520,GA,Rabun County,17.1,"41,913"
521,GA,Randolph County,30.5,"31,662"
522,GA,Richmond County,25.6,"41,128"
523,GA,Rockdale County,14.7,"56,689"
524,GA,Schley County,18.5,"43,396"
525,GA,Screven County,27.6,"36,414"
526,GA,Seminole County,23.4,"34,986"
527,GA,Spalding County,22.4,"43,065"
528,GA,Stephens County,20.8,"37,920"
529,GA,Stewart County,39.2,"24,945"
530,GA,Sumter County,28.9,"35,764"
531,GA,Talbot County,23.5,"36,482"
532,GA,Taliaferro County,28.8,"30,133"
533,GA,Tattnall County,29.8,"35,567"
534,GA,Taylor County,24.7,"31,637"
535,GA,Telfair County,30.8,"32,327"
536,GA,Terrell County,31.1,"34,018"
537,GA,Thomas County,21.1,"40,199"
538,GA,Tift County,22.1,"39,982"
539,GA,Toombs County,23.4,"36,765"
540,GA,Towns County,15.1,"42,439"
541,GA,Treutlen County,27.1,"32,100"
542,GA,Troup County,20.3,"42,955"
543,GA,Turner County,30.4,"31,969"
544,GA,Twiggs County,23.5,"38,507"
545,GA,Union County,15.4,"47,948"
546,GA,Upson County,19.8,"34,039"
547,GA,Walker County,18.6,"40,814"
548,GA,Walton County,12.8,"55,267"
549,GA,Ware County,25.5,"34,643"
550,GA,Warren County,28.2,"36,789"
551,GA,Washington County,26.9,"35,542"
552,GA,Wayne County,22.2,"42,017"
553,GA,Webster County,20.8,"36,329"
554,GA,Wheeler County,39.1,"29,532"
555,GA,White County,14.3,"44,980"
556,GA,Whitfield County,16.1,"46,796"
557,GA,Wilcox County,31.0,"33,858"
558,GA,Wilkes County,22.9,"33,735"
559,GA,Wilkinson County,20.9,"47,309"
560,GA,Worth County,21.1,"40,122"
561,HI,Hawaii,9.5,"74,659"
562,HI,Hawaii County,15.4,"54,684"
563,HI,Honolulu County,8.5,"80,012"
564,HI,Kalawao County,.,.
565,HI,Kauai County,8.1,"63,164"
566,HI,Maui County,9.5,"69,699"
567,ID,Idaho,13.8,"51,647"
568,ID,Ada County,10.8,"61,571"
569,ID,Adams County,15.0,"42,310"
570,ID,Bannock County,16.8,"48,453"
571,ID,Bear Lake County,13.9,"45,875"
572,ID,Benewah County,18.0,"45,285"
573,ID,Bingham County,13.8,"51,586"
574,ID,Blaine County,9.8,"66,210"
575,ID,Boise County,13.6,"50,123"
576,ID,Bonner County,15.4,"48,097"
577,ID,Bonneville County,11.7,"59,293"
578,ID,Boundary County,17.0,"42,725"
579,ID,Butte County,18.2,"41,706"
580,ID,Camas County,9.9,"49,153"
581,ID,Canyon County,15.1,"48,461"
582,ID,Caribou County,11.3,"55,152"
583,ID,Cassia County,14.2,"48,983"
584,ID,Clark County,16.4,"42,050"
585,ID,Clearwater County,15.8,"43,626"
586,ID,Custer County,15.7,"45,591"
587,ID,Elmore County,13.9,"45,003"
588,ID,Franklin County,9.3,"54,427"
589,ID,Fremont County,16.5,"46,465"
590,ID,Gem County,17.9,"42,027"
591,ID,Gooding County,13.8,"46,948"
592,ID,Idaho County,16.2,"42,049"
593,ID,Jefferson County,10.4,"61,156"
594,ID,Jerome County,16.0,"48,590"
595,ID,Kootenai County,14.5,"52,019"
596,ID,Latah County,17.6,"43,767"
597,ID,Lemhi County,17.7,"39,934"
598,ID,Lewis County,16.0,"41,092"
599,ID,Lincoln County,12.8,"47,754"
600,ID,Madison County,24.1,"41,199"
601,ID,Minidoka County,15.8,"48,903"
602,ID,Nez Perce County,14.9,"50,030"
603,ID,Oneida County,13.1,"46,596"
604,ID,Owyhee County,17.3,"35,866"
605,ID,Payette County,15.9,"46,595"
606,ID,Power County,15.7,"45,933"
607,ID,Shoshone County,18.9,"39,285"
608,ID,Teton County,9.7,"60,745"
609,ID,Twin Falls County,14.5,"49,415"
610,ID,Valley County,9.6,"58,738"
611,ID,Washington County,15.1,"41,647"
612,IL,Illinois,13.0,"60,977"
613,IL,Adams County,12.8,"51,130"
614,IL,Alexander County,29.0,"33,344"
615,IL,Bond County,13.6,"53,631"
616,IL,Boone County,9.6,"62,081"
617,IL,Brown County,16.7,"51,826"
618,IL,Bureau County,11.5,"53,410"
619,IL,Calhoun County,12.2,"50,952"
620,IL,Carroll County,12.6,"50,330"
621,IL,Cass County,13.7,"47,511"
622,IL,Champaign County,18.9,"51,032"
623,IL,Christian County,12.7,"49,324"
624,IL,Clark County,12.0,"49,937"
625,IL,Clay County,16.0,"43,478"
626,IL,Clinton County,9.3,"61,013"
627,IL,Coles County,19.3,"42,066"
628,IL,Cook County,15.0,"60,025"
629,IL,Crawford County,14.4,"46,374"
630,IL,Cumberland County,12.4,"49,733"
631,IL,DeKalb County,15.8,"59,586"
632,IL,De Witt County,10.6,"54,926"
633,IL,Douglas County,9.8,"55,891"
634,IL,DuPage County,7.0,"84,999"
635,IL,Edgar County,13.6,"47,062"
636,IL,Edwards County,11.1,"48,884"
637,IL,Effingham County,10.9,"51,809"
638,IL,Fayette County,15.2,"46,290"
639,IL,Ford County,11.2,"51,861"
640,IL,Franklin County,21.5,"40,246"
641,IL,Fulton County,14.7,"49,503"
642,IL,Gallatin County,20.5,"39,634"
643,IL,Greene County,15.1,"44,378"
644,IL,Grundy County,7.9,"71,969"
645,IL,Hamilton County,14.4,"47,855"
646,IL,Hancock County,12.0,"51,721"
647,IL,Hardin County,21.9,"39,143"
648,IL,Henderson County,11.7,"47,792"
649,IL,Henry County,11.5,"55,287"
650,IL,Iroquois County,13.3,"47,589"
651,IL,Jackson County,23.4,"34,982"
652,IL,Jasper County,10.7,"51,120"
653,IL,Jefferson County,15.8,"45,746"
654,IL,Jersey County,11.2,"57,243"
655,IL,Jo Daviess County,9.9,"54,169"
656,IL,Johnson County,14.4,"48,359"
