STATE NAME,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count SE
ILLINOIS,99 - LEGITIMATE SKIP,0.034,0.0009,0.032,0.036,0.04,0.0011,0.038,0.042,0.859,0.0065,0.845,0.871,9197000,250000
RHODE ISLAND,98 - BLANK,0,0,0,0,0.003,0.0013,0.001,0.007,0.007,0.0028,0.003,0.015,6000,3000
SOUTH DAKOTA,Overall,0.003,0.0001,0.002,0.003,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,703000,29000
MISSISSIPPI,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MISSISSIPPI,1 - Yes,0.001,0.0001,0.001,0.001,0.008,0.0008,0.006,0.009,0.097,0.0092,0.08,0.116,237000,24000
RHODE ISLAND,94 - DON T KNOW,0,0,0,0,0.009,0.0064,0.002,0.036,0.002,0.001,0,0.006,1000,1000
NORTH CAROLINA,Overall,0.031,0.001,0.03,0.033,0.031,0.001,0.03,0.033,1,0,N/A,N/A,8489000,265000
IDAHO,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
GEORGIA,97 - REFUSED,0,0,0,0,0.056,0.0557,0.008,0.319,0,0.0004,0,0.003,3000,3000
OHIO,99 - LEGITIMATE SKIP,0.03,0.0008,0.029,0.032,0.036,0.0009,0.034,0.038,0.837,0.0076,0.822,0.851,8170000,219000
NEBRASKA,2 - No,0,0,0,0,0.007,0.0011,0.005,0.01,0.037,0.0057,0.028,0.05,59000,9000
INDIANA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
COLORADO,99 - LEGITIMATE SKIP,0.014,0.0007,0.013,0.015,0.016,0.0008,0.015,0.018,0.811,0.0144,0.782,0.838,3771000,191000
ILLINOIS,1 - Yes,0.004,0.0002,0.004,0.005,0.036,0.0021,0.032,0.04,0.105,0.0061,0.094,0.118,1130000,67000
ALASKA,97 - REFUSED,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
MINNESOTA,98 - BLANK,0,0,0,0,0.012,0.0045,0.006,0.025,0.005,0.0019,0.003,0.011,25000,9000
NORTH CAROLINA,1 - Yes,0.004,0.0003,0.003,0.004,0.033,0.0025,0.028,0.038,0.122,0.0092,0.105,0.141,1034000,81000
ARKANSAS,99 - LEGITIMATE SKIP,0.008,0.0004,0.007,0.009,0.009,0.0005,0.008,0.01,0.841,0.0113,0.818,0.862,2083000,110000
KANSAS,1 - Yes,0.001,0.0001,0.001,0.001,0.009,0.0008,0.008,0.011,0.124,0.0093,0.107,0.143,294000,24000
RHODE ISLAND,Overall,0.003,0.0001,0.003,0.004,0.003,0.0001,0.003,0.004,1,0,N/A,N/A,908000,38000
DELAWARE,98 - BLANK,0,0,0,0,0.003,0.0013,0.001,0.007,0.006,0.0031,0.002,0.017,5000,3000
RHODE ISLAND,99 - LEGITIMATE SKIP,0.003,0.0001,0.003,0.003,0.003,0.0001,0.003,0.004,0.818,0.012,0.793,0.84,743000,33000
WYOMING,2 - No,0,0,0,0,0.002,0.0003,0.001,0.003,0.031,0.0056,0.022,0.044,15000,3000
ILLINOIS,Overall,0.04,0.001,0.038,0.042,0.04,0.001,0.038,0.042,1,0,N/A,N/A,10712000,276000
NEW HAMPSHIRE,94 - DON T KNOW,0,0,N/A,N/A,0,0,N/A,N/A,0,0,N/A,N/A,0,0
TEXAS,94 - DON T KNOW,0,0,0,0,0.04,0.024,0.012,0.124,0,0.0002,0,0.001,6000,4000
WASHINGTON,2 - No,0.001,0.0002,0.001,0.002,0.039,0.0057,0.029,0.052,0.052,0.0072,0.04,0.069,322000,48000
DISTRICT OF COLUMBIA,1 - Yes,0,0,0,0,0.003,0.0003,0.003,0.004,0.17,0.0137,0.144,0.198,99000,9000
CONNECTICUT,1 - Yes,0.001,0.0001,0.001,0.002,0.013,0.0012,0.01,0.015,0.129,0.0116,0.108,0.153,395000,36000
WEST VIRGINIA,2 - No,0,0,0,0,0.006,0.0014,0.004,0.01,0.034,0.0071,0.023,0.051,53000,11000
NEW HAMPSHIRE,98 - BLANK,0,0,0,0,0.003,0.0014,0.001,0.008,0.004,0.0024,0.001,0.013,5000,3000
